"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"SL3";"";"M10";"10P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SL4";"";"M10";"10P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SL5";"";"M14";"14P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SL6";"";"M14";"14P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";"";"";
"SLIDE";"SLIDESWITCH-BIG";"SLIDESWITCH-BIG";"BIGSWITCH";"";"";"";"";"";"";"";
"SODR_11";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"";
"SOD_LED";"LED5MM";"LED5MM";"LED5MM";"";"";"";"";"";"";"";
"TC6";"100nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"TC7";"100nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"TEMP_SENSOR";"M01SMDNS";"M01SMDNS";"1X01NS";"Header 1";"";"";"";"";"";"";
"U$1";"PRESET_LR";"PRESET_LR";"PRESET_LR";"";"";"";"";"";"";"";
"U$2";"USB(POWER)";"USB(POWER)";"USB(POWER)";"";"";"";"";"";"";"";
"U$3";"MCP6001UT-E/OT";"MCP6001UT-E/OT";"SOT95P270X145-5N";"1 MHz, Low-Power Op Amp";"";"MCP6001UT-E/OT";"1840893";"84R5183";"SOT23-5";"Microchip";
"U$4";"APDS9008";"APDS9008";"APDS9008";"";"";"";"";"";"";"";
"U1";"LM4040A41IDBZT";"LM4040A41IDBZT";"SOT95P237X112-3N";"PRECISION MICROPOWER SHUNT VOLTAGE REFERENCE";"";"LM4040A41IDBZT";"1755107";"66K2443";"3-SOT-23";"TEXAS INSTRUMENTS";
